The District of Algoma,112764
Brant County,144937
Chatham-Kent,104316
Durham Regional ,696992
Eastern Ontario ,210276
Grey Bruce ,174301
Haldimand-Norfolk,116706
Haliburton Kawartha Pine Ridge District,189183
Halton Regional ,596637
City of Hamilton,569353
Hastings and Prince Edward Counties,171450
Huron Perth,142931
Kingston Frontenac and Lennox and Addington,206962
Lambton ,128154
Leeds Grenville and Lanark District,179830
Middlesex-London ,500563
Niagara Regional Area ,477941
North Bay Parry Sound ,129362
Northwestern,77338
City of Ottawa,1017449
Oxford Elgin St. Thomas,216533
Peel Regional,1451022
Peterborough County-City,147681
Porcupine ,81188
Renfrew County and District,107522
Simcoe Muskoka District,599843
Sudbury and District,202431
Thunder Bay District,152885
Timiskaming,32394
City of Toronto ,2794356
Waterloo,587165
Wellington-Dufferin-Guelph,307283
Windsor-Essex County,422860
York Regional,1173334
